# PLZ;Ort;Kanton
# Quelle: GeoNames Postal Codes (download.geonames.org/export/zip/CH.zip), Lizenz CC BY 4.0.
# Eine Zeile je PLZ; geladen von PlzVerzeichnis. Nicht von Hand editieren.
1000;Lausanne 18;VD
1001;Lausanne;VD
1002;Lausanne;VD
1003;Lausanne;VD
1004;Lausanne;VD
1005;Lausanne;VD
1006;Lausanne;VD
1007;Lausanne;VD
1008;Jouxtens-Mézery;VD
1009;Pully;VD
1010;Lausanne;VD
1011;Lausanne;VD
1012;Lausanne;VD
1014;Lausanne Adm cant;VD
1015;Lausanne;VD
1018;Lausanne;VD
1019;Lausanne;VD
1020;Renens VD;VD
1022;Chavannes-près-Renens;VD
1023;Crissier;VD
1024;Ecublens VD;VD
1025;St-Sulpice VD;VD
1026;Echandens;VD
1027;Lonay;VD
1028;Préverenges;VD
1029;Villars-Ste-Croix;VD
1030;Bussigny;VD
1031;Mex VD;VD
1032;Romanel-sur-Lausanne;VD
1033;Cheseaux-sur-Lausanne;VD
1034;Boussens;VD
1035;Bournens;VD
1036;Sullens;VD
1037;Etagnières;VD
1038;Bercher;VD
1039;Cheseaux Polyval;VD
1040;Echallens;VD
1041;Montaubion-Chardonney;VD
1042;Bioley-Orjulaz;VD
1043;Sugnens;VD
1044;Fey;VD
1045;Ogens;VD
1046;Rueyres;VD
1047;Oppens;VD
1052;Le Mont-sur-Lausanne;VD
1053;Bretigny-sur-Morrens;VD
1054;Morrens VD;VD
1055;Froideville;VD
1058;Villars-Tiercelin;VD
1059;Peney-le-Jorat;VD
1061;Villars-Mendraz;VD
1062;Sottens;VD
1063;Chapelle-sur-Moudon;VD
1066;Epalinges;VD
1068;Les Monts-de-Pully;VD
1070;Puidoux;VD
1071;St-Saphorin (Lavaux);VD
1072;Forel (Lavaux);VD
1073;Savigny;VD
1076;Ferlens VD;VD
1077;Servion;VD
1078;Essertes;VD
1080;Les Cullayes;VD
1081;Montpreveyres;VD
1082;Corcelles-le-Jorat;VD
1083;Mézières VD;VD
1084;Carrouge VD;VD
1085;Vulliens;VD
1088;Ropraz;VD
1090;La Croix (Lutry);VD
1091;Chenaux;VD
1092;Belmont-sur-Lausanne;VD
1093;La Conversion;VD
1094;Paudex;VD
1095;Lutry;VD
1096;Cully;VD
1097;Riex;VD
1098;Epesses;VD
1110;Morges;VD
1112;Echichens;VD
1113;St-Saphorin-sur-Morges;VD
1114;Colombier VD;VD
1115;Vullierens;VD
1116;Cottens VD;VD
